term,replacement
HU,واحد هانسفیلد
آبسه,آبسه
آرنج,آرنج
آناکویک,بی‌اکو
آنحراف,انحراف
آنوریسم,آنوریسم
آکسیال,محوری
آیزوانتنس,هم شدت
ابعاد,ابعاد
اتروفی,آتروفی
ادیم,ادم
ارتفاع,ارتفاع
استئوآرتریت,استئوآرتریت
استخوان,استخوان
استنوس,استنوز
استیوفیت,استئوفیت
استیوپروز,استئوپروز
استیوپنی,استئوپنی
اسپرین,رگ به رگ شدگی
اسپلنومگالی,بزرگی طحال
افصایش,افزایش
افصایی,فضایی
افوزیون,افیوژن
اندازه,اندازه
اوبستراکسیون,انسداد
اکو,اکو
اکوژنیسیته,اکوژنیسیته
اینتراآرتیکولار,داخل مفصلی
اینتراموسکولار,داخل عضلانی
اینفریور,پایینی
بازو,بازو
بافد,بافت
بدخیم,بدخیم
بی راد,BI-RADS
تانذون,تاندون
تحمدان,تخمدان
ترفیغه,ترقوه
تست,آزمایش
تشخیص,تشخیص
تغزیه,تغذیه
تقریب,تقریبا
تومور,تومور
تی تو,T2
تی وان,T1
جزگی,جزئی
جزیی,جزئی
جمجمه,جمجمه
جناق,جناق
حالط,خالص
حجم,حجم
حفره,حفره
خارجی,خارجی
خفیض,خفیف
خوش خیم,خوش‌خیم
داخلی,داخلی
دانسیته,دانسیته
داپلر,داپلر
دسانسیون,آسانسیون
دنده,دنده
دو طرفه,دوطرفه
دورسال,پشتی
دیستال,دور
دیسلوکاسیون,دررفتگی
دیسپلاسی,دیسپلازی
دیفیوژن,دیفیوژن
دیلاتاسیون,دیلاتاسیون
رادیواوپاک,رادیواوپک
رادیولوسنت,رادیولوسنت
رادیوگراضی,رادیوگرافی
ران,ران
رتروپریتونال,پشت صفاقی
رحیم,رحم
زانو,زانو
زخامت,ضخامت
ساجیتال,کناری
ساغد,ساعد
ساف,ساق
سانتیمتر,سانتی‌متر
سخامت,ضخامت
سوبکوتانه,زیرجلدی
سونوگراضی,سونوگرافی
سوپریور,بالایی
سیگنال,سیگنال
شدید,شدید
شریان,شریان
شواد,قدرت
ضحامت,ضخامت
ضعبط,ضبط
طبیعی,طبیعی
طحان,طحال
طول,طول
عرض,عرض
عروف,عروق
عزله,عضله
عصف,عصب
غدد,غدد
غضروض,غضروف
غلیه,کلیه
غیر طبیعی,غیرطبیعی
فاصله,فاصله
فاغله,فاصله
فقارت,فقرات
فلر,FLAIR
فلو,جریان
فک,فک
فیبروآدنوم,فیبروآدنوم
فیبروس,فیبروز
فیبولا,فیبولا
قطر,قطر
قظر,قطر
قوز,قوزک
لترال,جانبی
لنفادنوپاتی,لنفادنوپاتی
لنفاوی,لنفاوی
لوزالمغده,لوزالمعده
لگن,لگن
لیپوماتوس,چربی
لیکامان,لیگامان
ماری,مثانه
ماموگراضی,ماموگرافی
ماکزیمال,حداکثر
متاستاس,متاستاز
متقارن,متقارن
متوسط,متوسط
مجدد,مجدد
محیطی,محیطی
مخ,مغز
مدیاستینال,مدیاستن
مدیال,میانی
مرکسی,مرکزی
مسهول,مسئول
مغده,معده
مفسل,مفصل
منتشر,منتشر
مهره,مهره
موجو,موجود
موضعی,موضعی
موفعیت,موقعیت
مچ,مچ
میلیمتر,میلی‌متر
مینیمال,حداقل
میکروکلسیفیکاسیون,میکروکلسیفیکاسیون
نامتقارن,نامتقارن
نان کنتراست,بدون کنتراست
ناهمگن,ناهموژن
نخاغ,نخاع
ندول,ندول
نضر,نظر
نورولوژیک,عصبی
نکروس,نکروز
نیوپلاسم,نئوپلاسم
هایپرانتنس,فوق شدید
هایپراکویک,پراکو
هایپوانتنس,کم شدت
هایپواکویک,کم‌اکو
هماتوم,کبودی
همگن,هموژن
هپاتومگالی,بزرگی کبد
هیپرتروضی,هیپرتروفی
ورید,ورید
وسکولار,عروقی
وسیف,وسیع
ونترال,شکمی
ویندو,پنجره
پاتلا,پاتلا
پارااورتیک,کنار آئورت
پاراورتبرال,کنار مهره
پرفراسیون,سوراخ شدگی
پروستان,پروستات
پروگزیمال,نزدیک
پریکاردیال,پریکاردیال
پلورال,پلورال
پنوموتراکس,پنوموتوراکس
پوست,پوست
چب,چپ
چند کانونی,چندکانونی
کادال,دمی
کاردیومگالی,بزرگی قلب
کانان,کانال
کتف,کتف
کرانیال,سری
کلسیفیکاسیون,کلسیفیکاسیون
کنتراست,کنتراست
کنسولیدیشن,کانسولیدیشن
کیسد,کیست
گادولینیوم,گادولینیوم
گایش,کاهش
یک طرفه,یک‌طرفه
