term,replacement
# MRI & Imaging Modalities
ام ار آی,ام‌آر‌آی
ام آر آی,ام‌آر‌آی
سی تی,سی‌تی
سی تی اسکن,سی‌تی اسکن
پی ای تی,پی‌ای‌تی
پی ای تی اسکن,پی‌ای‌تی اسکن
اسپکت,اسپکت
دوپلر,داپلر
سونوگرافی,سونوگرافی
اولتراسوند,اولتراسوند
ماموگرافی,ماموگرافی
فلوروسکوپی,فلوروسکوپی
رادیوگرافی,رادیوگرافی
آنژیوگرافی,آنژیوگرافی

# MRI Sequences (توالی‌های ام‌آر‌آی)
تی 1,تی‌1
تی 2,تی‌2
تی یک,تی‌یک
تی دو,تی‌دو
فلر,فلر
دی دبلیو آی,دی‌دبلیو‌آی
دبلیو آی,دبلیو‌آی
اس دبلیو آی,اس‌دبلیو‌آی
استیر,استیر
اف ام ار,اف‌ام‌آر
اف ام آر آی,اف‌ام‌آر‌آی

# Contrast & Medications
گادولینیوم,گادولینیوم
کنتراست,کنتراست
ماده حاجب,ماده حاجب
ید دار,یددار
بدون کنتراست,بدون کنتراست
با کنتراست,با کنتراست
پیش از کنتراست,پیش از کنتراست
بعد از کنتراست,بعد از کنتراست

# Brain & Neurological
مغز,مغز
مخچه,مخچه
ساقه مغز,ساقه مغز
پونس,پونس
بصل النخاع,بصل‌النخاع
تالاموس,تالاموس
هیپوتالاموس,هیپوتالاموس
هیپوکامپ,هیپوکامپ
آمیگدال,آمیگدال
کورپوس کالوزوم,کورپوس کالوزوم
بطن جانبی,بطن جانبی
بطن سوم,بطن سوم
بطن چهارم,بطن چهارم
ونتریکول,ونتریکول
لوب فرونتال,لوب فرونتال
لوب پاریتال,لوب پاریتال
لوب تمپورال,لوب تمپورال
لوب اکسیپیتال,لوب اکسیپیتال
کورتکس,کورتکس
ماده سفید,ماده سفید
ماده خاکستری,ماده خاکستری
هرنیاسیون,هرنیاسیون
ادم مغزی,ادم مغزی
هیدروسفالی,هیدروسفالی

# Spine (ستون فقرات)
ستون فقرات,ستون فقرات
مهره,مهره
فقرات گردنی,فقرات گردنی
فقرات پشتی,فقرات پشتی
فقرات کمری,فقرات کمری
فقرات ساکرال,فقرات ساکرال
دیسک بین مهره ای,دیسک بین‌مهره‌ای
هرنی دیسک,هرنی دیسک
استنوز,استنوز
اسپوندیلوز,اسپوندیلوز
اسپوندیلولیستزیس,اسپوندیلولیستزیس
نخاع,نخاع
کانال نخاعی,کانال نخاعی
ریشه عصبی,ریشه عصبی
فورامن,فورامن
لیگامنت,لیگامنت

# Spine Levels
سی 1,سی‌۱
سی 2,سی‌۲
سی 3,سی‌۳
سی 4,سی‌۴
سی 5,سی‌۵
سی 6,سی‌۶
سی 7,سی‌۷
تی 1,تی‌۱
تی 2,تی‌۲
تی 3,تی‌۳
تی 4,تی‌۴
تی 5,تی‌۵
تی 6,تی‌۶
تی 7,تی‌۷
تی 8,تی‌۸
تی 9,تی‌۹
تی 10,تی‌۱۰
تی 11,تی‌۱۱
تی 12,تی‌۱۲
ال 1,ال‌۱
ال 2,ال‌۲
ال 3,ال‌۳
ال 4,ال‌۴
ال 5,ال‌۵
اس 1,اس‌۱

# Musculoskeletal
استخوان,استخوان
مفصل,مفصل
غضروف,غضروف
منیسک,منیسک
رباط صلیبی,رباط صلیبی
رباط جانبی,رباط جانبی
تاندون,تاندون
ماهیچه,ماهیچه
شکستگی,شکستگی
دررفتگی,دررفتگی
پارگی,پارگی
کشیدگی,کشیدگی
التهاب,التهاب
آرتروز,آرتروز
آرتریت,آرتریت
اوستئوپوروز,اوستئوپوروز
کالوس,کالوس
نکروز,نکروز
اوستئومیلیت,اوستئومیلیت

# Joints
مفصل زانو,مفصل زانو
مفصل شانه,مفصل شانه
مفصل ران,مفصل ران
مفصل مچ پا,مفصل مچ پا
مفصل مچ دست,مفصل مچ دست
مفصل آرنج,مفصل آرنج
مفصل ساکروایلیاک,مفصل ساکروایلیاک

# Abdomen & Pelvis
کبد,کبد
طحال,طحال
پانکراس,پانکراس
کلیه,کلیه
مثانه,مثانه
پروستات,پروستات
رحم,رحم
تخمدان,تخمدان
روده,روده
معده,معده
صفراء,صفرا
کیسه صفرا,کیسه صفرا
آئورت,آئورت
ورید پورتال,ورید پورتال
غدد لنفاوی,غدد لنفاوی

# Chest & Cardiovascular
قلب,قلب
ریه,ریه
آئورت,آئورت
شریان ریوی,شریان ریوی
ورید,ورید
شریان,شریان
دریچه میترال,دریچه میترال
دریچه آئورت,دریچه آئورت
پریکارد,پریکارد
میوکارد,میوکارد
مدیاستن,مدیاستن
پلور,پلور
برونش,برونش
آمبولی,آمبولی
ترومبوز,ترومبوز

# Pathology Terms
ضایعه,ضایعه
توده,توده
تومور,تومور
سیست,کیست
کیست,کیست
آبسه,آبسه
ندول,ندول
پلاک,پلاک
آترواسکلروز,آترواسکلروز
انفارکتوس,انفارکتوس
ایسکمی,ایسکمی
خونریزی,خونریزی
هماتوم,هماتوم
اسکار,اسکار
فیبروز,فیبروز
نئوپلاسم,نئوپلاسم
متاستاز,متاستاز
خوش خیم,خوش‌خیم
بدخیم,بدخیم

# Descriptive Terms
نرمال,نرمال
طبیعی,طبیعی
غیر طبیعی,غیرطبیعی
متقارن,متقارن
نامتقارن,نامتقارن
همگن,همگن
ناهمگن,ناهمگن
هیپرانتنس,هیپرانتنس
هیپوانتنس,هیپوانتنس
ایزوانتنس,ایزوانتنس
هیپردنس,هیپردنس
هیپودنس,هیپودنس
افزایش سیگنال,افزایش سیگنال
کاهش سیگنال,کاهش سیگنال
محدود شده,محدود‌شده
منتشر,منتشر
فوکال,فوکال
موضعی,موضعی
وسیع,وسیع
خفیف,خفیف
متوسط,متوسط
شدید,شدید
حاد,حاد
مزمن,مزمن

# Measurements
میلی متر,میلی‌متر
سانتی متر,سانتی‌متر
میلیلیتر,میلی‌لیتر
اندازه,اندازه
قطر,قطر
حجم,حجم
ضخامت,ضخامت
طول,طول
عرض,عرض
ارتفاع,ارتفاع

# Directions & Locations
راست,راست
چپ,چپ
دوطرفه,دوطرفه
یک طرفه,یک‌طرفه
فوقانی,فوقانی
تحتانی,تحتانی
قدامی,قدامی
خلفی,خلفی
میانی,میانی
جانبی,جانبی
مرکزی,مرکزی
محیطی,محیطی
داخلی,داخلی
خارجی,خارجی
عمقی,عمقی
سطحی,سطحی

# Report Phrases
یافته غیر طبیعی,یافته غیرطبیعی
مشکوک به,مشکوک به
