term,replacement
"ریحه","ریه"
"گبد","کبد"
"فلب","قلب"
"طحان","طحال"
"غلیه","کلیه"
"مغده","معده"
"لوزالمغده","لوزالمعده"
"ماری","مثانه"
"پروستان","پروستات"
"رحیم","رحم"
"تحمدان","تخمدان"
"غضروض","غضروف"
"لیکامان","لیگامان"
"تانذون","تاندون"
"مفسل","مفصل"
"فقارت","فقرات"
"عروف","عروق"
"عصف","عصب"
"عزله","عضله"
"بافد","بافت"
"مخ","مغز"
"نخاغ","نخاع"
"ساف","ساق"
"قوز","قوزک"
"ترفیغه","ترقوه"
"ساغد","ساعد"
"سیموس","سینوس"
"کانان","کانال"
"افصایی","فضایی"
"سخامت","ضخامت"
"زخامت","ضخامت"
"ضحامت","ضخامت"
"آنحراف","انحراف"
"گایش","کاهش"
"افصایش","افزایش"
"وسیف","وسیع"
"کیسد","کیست"
"کنسولیدیشن","کانسولیدیشن"
"آتلکتزی","آتلکتازی"
"افوزیون","افیوژن"
"پنوموتراکس","پنوموتوراکس"
"ادیم","ادم"
"التحاب","التهاب"
"فیبروس","فیبروز"
"نکروس","نکروز"
"اتروفی","آتروفی"
"هیپرتروضی","هیپرتروفی"
"دیسپلاسی","دیسپلازی"
"استنوس","استنوز"
"استیوفیت","استئوفیت"
"استیوپروز","استئوپروز"
"استیوپنی","استئوپنی"
"متاستاس","متاستاز"
"خوش خیم","خوش‌خیم"
"غیر طبیعی","غیرطبیعی"
"دسانسیون","آسانسیون"
"سی تی","CT"
"کنتراست","contrast"
"ام آر آی","MRI"
"تی وان","T1"
"تی تو","T2"
"فلر","FLAIR"
"دیفیوژن","diffusion"
"سیگنال","signal"
"هایپرانتنس","hyperintense"
"هایپوانتنس","hypointense"
"آیزوانتنس","isointense"
"گادولینیوم","gadolinium"
"سونوگراضی","سونوگرافی"
"اکوژنیسیته","echogenicity"
"هایپراکویک","hyperechoic"
"هایپواکویک","hypoechoic"
"آناکویک","anechoic"
"داپلر","Doppler"
"رادیوگراضی","رادیوگرافی"
"رادیولوسنت","radiolucent"
"رادیواوپاک","radiopaque"
"دانسیته","density"
"ماموگراضی","ماموگرافی"
"میکروکلسیفیکاسیون","microcalcification"
"بی راد","BI-RADS"
"فیبروآدنوم","fibroadenoma"
"لزیون","lesion"
"ندول","nodule"
"کلسیفیکاسیون","calcification"
"نیوپلاسم","neoplasm"
"لنفادنوپاتی","lymphadenopathy"
"میلیمتر","میلی‌متر"
"سانتیمتر","سانتی‌متر"
"جزیی","جزئی"
"جزگی","جزئی"
"خفیض","خفیف"
"چند کانونی","چندکانونی"
"دو طرفه","دوطرفه"
"یک طرفه","یک‌طرفه"
"مرکسی","مرکزی"
"کم‌اکو","hypoechoic"
"پراکو","hyperechoic"
"بی‌اکو","anechoic"
"چب","چپ"
"پروگزیمال","proximal"
"دیستال","distal"
"سوپریور","superior"
"اینفریور","inferior"
"مدیال","medial"
"لترال","lateral"
"ونترال","ventral"
"دورسال","dorsal"
"کرانیال","cranial"
"کادال","caudal"
"آکسیال","axial"
"ساجیتال","sagittal"
"آنتریور","anterior"
"پوستریور","posterior"
"فاغله","فاصله"
"قظر","قطر"
"موفعیت","موقعیت"
"نضر","نظر"
"موجو","موجود"
"مجدد","مجدد"
"ضعبط","ضبط"
"مسهول","مسئول"
"تقریب","تقریبا"
"حالط","خالص"
"تغزیه","تغذیه"
"نرمال","normal"
"اسکن","scan"
"تومور","tumor"
"ماکزیمال","maximal"
"مینیمال","minimal"
"همگن","homogeneous"
"ناهمگن","heterogeneous"
"آرتیفکت","artifact"
"آرتیفکد","artifact"
"آژنزی","agenesis"
"آپلازی","aplasia"
"آترزی","atresia"
"آتروضی","atrophy"
"هایپرپلازی","hyperplasia"
"هایپرتروضی","hypertrophy"
"اینفارکشن","infarction"
"ایسکمی","ischemia"
"اینتراونتریکولار","intraventricular"
"دیسفاژی","dysphagia"
"هپاتوفوگال","hepatofugal"
"هپاتوپتال","hepatopetal"
"آمپوتیشن","amputation"
"آپوفیزیس","apophysis"
"دیافیزیس","diaphysis"
"اپیفیزیس","epiphysis"
"متافیزیس","metaphysis"
"فیزیس","physis"
"مونواستوتیک","monostotic"
"پلی‌استوتیک","polyostotic"
"برونکوره‌آ","bronchorrhea"
"موکوسل","mucocele"
"مایستوما","mycetoma"
"فلوروسکوپی","fluoroscopy"
"آنژیوگرافی","angiography"
"مموگرافی","mammography"
"سینتیگرافی","scintigraphy"
"اکوکاردیوگرافی","echocardiography"
"اگزوفیتیک","exophytic"
"سرپیجینوس","serpiginous"
"ژئوگرافیک","geographic"
"فوکال","focal"
"دیفیوز","diffuse"
"مولتی‌فوکال","multifocal"
